dataset,scale,model,num,rgb_psnr_min,rgb_psnr_avg,rgb_psnr_max,rgb_mse_min,rgb_mse_avg,rgb_mse_max,y_psnr_min,y_psnr_avg,y_psnr_max,y_mse_min,y_mse_avg,y_mse_max,ssim_min,ssim_avg,ssim_max,uqi_min,uqi_avg,uqi_max,entropy_perc_min,entropy_perc_avg,entropy_perc_max,brisque_perc_min,brisque_perc_avg,brisque_perc_max,brisque_perc_y_min,brisque_perc_y_avg,brisque_perc_y_max,hr_entropy_min,hr_entropy_avg,hr_entropy_max,up_entropy_min,up_entropy_avg,up_entropy_max,hr_brisque_min,hr_brisque_avg,hr_brisque_max,up_brisque_min,up_brisque_avg,up_brisque_max,hr_y_brisque_min,hr_y_brisque_avg,hr_y_brisque_max,up_y_brisque_min,up_y_brisque_avg,up_y_brisque_max
Set14,2,nearest,14,22.12104868,26.717501988571428,30.5991702,56.64522947,164.76734973357142,399.0023861,22.88137609,27.063256349285716,32.30630652,38.23399758,153.90246697214283,334.9212875,0.701762681,0.8493265210714286,0.935301209,0.966089938,0.9852516043571428,0.998537851,-0.011974594,0.06719983942857143,0.356939847,-3.575940179,0.37499024942857145,2.373111713,-0.710406961,-0.12957383764285715,0.065597225,5.199123239,5.199123239,5.199123239,5.339091097,5.339091097,5.339091097,-6.66090877,-6.66090877,-6.66090877,5.510726772,5.510726772,5.510726772,99.70771988,99.70771988,99.70771988,45.13162716,45.13162716,45.13162716
Set14,2,SRCNN,14,23.07147571,29.82092990142857,35.44608978,18.55544535,88.26918425642857,320.5773167,24.03929411,30.512217017142856,35.75341115,17.28778076,77.18549447428573,256.5375542,0.776459294,0.9036897736428572,0.969755462,0.975803238,0.9889424994285713,0.999470147,-0.028193578,0.06766211792857142,0.360732782,-4.969049567,0.7032725152142856,4.258218305,-0.298282256,-0.01490677857142857,0.054922368,5.199123239,5.199123239,5.199123239,5.500883632,5.500883632,5.500883632,-6.66090877,-6.66090877,-6.66090877,20.78396943,20.78396943,20.78396943,99.70771988,99.70771988,99.70771988,98.782961,98.782961,98.782961
Set14,2,ScSR,14,22.99231873,29.572194021428572,34.35899899,23.83309597,93.50451639285713,326.4739153,23.91514683,30.20629068,34.85418648,21.2648201,82.91458918999999,263.97675,0.758004113,0.8973854992857141,0.968188277,0.975369389,0.9889351520714287,0.999482363,-0.029083938,0.0657787272857143,0.359341382,-5.937164648,0.9319872083571429,4.746918984,-0.290239074,-0.060977137785714286,0.083727317,5.199123239,5.199123239,5.199123239,5.477820739,5.477820739,5.477820739,-6.66090877,-6.66090877,-6.66090877,25.17171165,25.17171165,25.17171165,99.70771988,99.70771988,99.70771988,98.55960942,98.55960942,98.55960942
Set14,2,SelfExSR,14,23.25719148,30.42153738428571,35.71978663,17.42214796,80.40282675571427,307.1575625,24.11915579,31.01781735928572,35.92729065,16.60929871,72.15925930928572,251.8632375,0.775618446,0.9075236584285713,0.975463672,0.976740685,0.9907438827142856,0.999539773,-0.003518337,0.07099772971428572,0.359285489,-5.418507827,0.8375781019999999,4.390791447,-0.248008999,-0.007718289142857143,0.084206233,5.199123239,5.199123239,5.199123239,5.412934971,5.412934971,5.412934971,-6.66090877,-6.66090877,-6.66090877,24.75113744,24.75113744,24.75113744,99.70771988,99.70771988,99.70771988,98.01440015,98.01440015,98.01440015
Set14,2,FSRCNN,14,23.25268297,30.240059310714287,36.41648006,14.83994717,82.2845791142857,307.4765958,24.27143153,31.00865035357143,36.71176645,13.86448415,71.0911325,243.1852375,0.783382828,0.9093125692142855,0.975037126,0.975997427,0.989126947357143,0.999463827,-0.004536036,0.07715106885714286,0.359532272,-5.4443074,0.5008259705714285,3.835601481,-0.34771644,-0.05804321078567336,0.064685983,5.199123239,5.199123239,5.199123239,5.868011018,5.868011018,5.868011018,-6.66090877,-6.66090877,-6.66090877,18.06788576,18.06788576,18.06788576,99.70771988,99.70771988,99.70771988,98.08795854,98.08795854,98.08795854
Set14,3,bicubic,14,21.00812912,25.73921421714286,29.9327307,66.04003448,212.81806326857142,515.5460327,21.68009704,26.08498646214286,31.56890899,45.30952006,199.52581677285713,441.6422942,0.558222706,0.7770905522857143,0.918753449,0.954312067,0.9802592732857143,0.998211038,-0.027634058,0.06844582542857143,0.35620809,-12.22765705,1.9167363750714284,10.47746394,-0.618549946,-0.09195979357142857,0.064534588,5.206858663,5.206858663,5.206858663,5.555207321,5.555207321,5.555207321,-6.66090877,-6.66090877,-6.66090877,45.78250058,45.78250058,45.78250058,99.74105578,99.74105578,99.74105578,59.44708359,59.44708359,59.44708359
Set14,3,glasner,14,21.13511718,26.281601164285718,30.49443386,58.02791619,191.6239330678571,500.6896837,21.84812243,26.75851904,31.88141242,42.16373924,176.58400119214284,424.8817897,0.592396649,0.7972604676428573,0.935177498,0.960263972,0.9809692354285715,0.998195348,-0.019039923,0.07268485678571428,0.35927371,-5.815373607,1.592890732357143,7.516820291,-0.298331356,-0.051853609214285716,0.183729173,5.206858663,5.206858663,5.206858663,5.670574301,5.670574301,5.670574301,-6.66090877,-6.66090877,-6.66090877,30.04978266,30.04978266,30.04978266,99.74105578,99.74105578,99.74105578,93.05934439,93.05934439,93.05934439
Set14,3,nearest,14,20.55139566,24.305597773571428,28.84442911,84.84718722,284.4326580228571,572.7179496,20.7223458,24.596252035714283,30.19250491,62.20565532,268.0578939942857,550.6121374,0.540518165,0.7414824691428572,0.879038139,0.947111275,0.9760514247142857,0.996824857,-0.02409238,0.06699881978571429,0.356132946,-7.03687688,2.3188157127857143,12.69270572,-0.410875359,-0.014143319357142855,0.184623959,5.206858663,5.206858663,5.206858663,5.459239557,5.459239557,5.459239557,-6.66090877,-6.66090877,-6.66090877,20.65210587,20.65210587,20.65210587,99.74105578,99.74105578,99.74105578,87.33895722,87.33895722,87.33895722
Set14,3,SRCNN,14,21.28389123,26.86207462785714,31.03995283,51.17820838,168.20223322500001,483.8282672,22.03690927,27.387791901428574,32.29208504,38.35940454,152.60333853571427,406.8079526,0.621047037,0.8177147135714288,0.940579119,0.95741587,0.9819141525714288,0.998783564,-0.027640237,0.0682142955,0.359764671,-9.386315493,1.255023255642857,7.737641899,-0.712282077,-0.14929062650000002,0.092163912,5.206858663,5.206858663,5.206858663,5.640951943,5.640951943,5.640951943,-6.66090877,-6.66090877,-6.66090877,20.8792084,20.8792084,20.8792084,99.74105578,99.74105578,99.74105578,42.65478244,42.65478244,42.65478244
Set14,3,ScSR,14,21.20633725,26.343576301428573,30.5528984,57.25198129,187.43821545285715,492.545818,21.93305251,26.769814649285713,32.02906581,40.75433207,173.07715849285714,416.6535726,0.599943735,0.8036202252857143,0.92947996,0.958551743,0.9810969667142856,0.998579844,-0.028078171,0.0664436005,0.358895562,-10.90099412,1.5413166865714285,8.800267424,-0.290448179,-0.017050957285714284,0.119824672,5.206858663,5.206858663,5.206858663,5.628155586,5.628155586,5.628155586,-6.66090877,-6.66090877,-6.66090877,35.88112931,35.88112931,35.88112931,99.74105578,99.74105578,99.74105578,100.3744573,100.3744573,100.3744573
